Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","52","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2013","2013","Kcal/personne/jour","2607","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","62.43","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","63.07","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","21.21","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","52","Azerbaïdjan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","22.19","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","12","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2012","2012","Kcal/personne/jour","1787","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","12","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2013","2013","Kcal/personne/jour","1828","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","29.95","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","30.19","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","12","Bahamas","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","40.68","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","12","Bahamas","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","39.18","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","16","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2012","2012","Kcal/personne/jour","2330","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","16","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2013","2013","Kcal/personne/jour","2344","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","16","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","44.77","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","16","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","45.92","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","16","Bangladesh","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","24.37","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","16","Bangladesh","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","24.01","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","14","Barbade","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2012","2012","Kcal/personne/jour","2228","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","14","Barbade","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2013","2013","Kcal/personne/jour","2250","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","14","Barbade","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","37.31","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","14","Barbade","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","37.72","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","14","Barbade","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","41.1","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","14","Barbade","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","42.51","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","57","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2012","2012","Kcal/personne/jour","2516","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","57","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2013","2013","Kcal/personne/jour","2411","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","57","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","41.67","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","57","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","38.86","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","57","Bélarus","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","69.08","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","57","Bélarus","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","70.07","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","255","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2012","2012","Kcal/personne/jour","2566","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","255","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2013","2013","Kcal/personne/jour","2561","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","255","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","40.53","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","255","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","41.48","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","255","Belgique","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","69.62","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","255","Belgique","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","68.15","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","23","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2012","2012","Kcal/personne/jour","2178","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","23","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2013","2013","Kcal/personne/jour","2204","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","23","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","41.9","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","23","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","44.31","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","23","Belize","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","37.72","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","23","Belize","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","34.52","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","53","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2012","2012","Kcal/personne/jour","2482","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","53","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2013","2013","Kcal/personne/jour","2491","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","53","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","50.25","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","53","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","50.18","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","53","Bénin","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","43.46","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","53","Bénin","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","43.1","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","17","Bermudes","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2012","2012","Kcal/personne/jour","1830","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","17","Bermudes","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2013","2013","Kcal/personne/jour","1861","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","17","Bermudes","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","25.96","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","17","Bermudes","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","30.52","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","17","Bermudes","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","61.83","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","17","Bermudes","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","51.51","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2012","2012","Kcal/personne/jour","1772","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2013","2013","Kcal/personne/jour","1796","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","35.04","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","36.25","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","19.01","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","19","Bolivie (État plurinational de)","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2903","Produits Vegetaux","2013","2013","g/personne/jour","18.66","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2012","2012","Kcal/personne/jour","2524","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2013","2013","Kcal/personne/jour","2631","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","80","Bosnie-Herzégovine","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2012","2012","g/personne/jour","57.71","Fc","Donnée calculée"
